# lakeno iconn k i j claktype bedleak belev telev connlen connwidth
 0 0 0 4 18 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 1 0 4 19 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 2 0 5 17 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 3 0 5 17 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 4 0 5 20 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 5 0 6 15 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 6 0 6 16 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 7 0 6 16 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 8 0 6 20 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 9 0 7 14 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 10 0 7 20 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 11 0 7 20 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 12 0 8 14 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 13 0 8 21 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 14 0 9 14 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 15 0 9 21 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 16 0 10 15 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 17 0 10 15 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 18 0 10 21 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 19 0 11 15 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 20 0 11 21 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 21 0 12 15 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 22 0 12 20 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 23 0 12 20 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 24 0 13 15 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 25 0 13 20 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 26 0 14 15 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 27 0 14 19 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 28 0 14 19 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 29 0 15 16 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 30 0 15 16 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 31 0 15 18 HORIZONTAL 1.0 0.0 0.0 202.8325 403.717
 0 32 0 15 18 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 33 0 16 17 HORIZONTAL 1.0 0.0 0.0 201.8585 405.665
 0 34 1 5 18 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 35 1 5 19 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 36 1 6 17 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 37 1 6 18 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 38 1 6 19 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 39 1 7 15 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 40 1 7 16 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 41 1 7 17 VERTICAL 1.0 0.0 0.0 0.0 0.0
 0 42 1 7 18 VERTICAL 1.0 0.0 0.0 0.0 0.0
